Date,Open,High,Low,Close,Volume,Market Cap
"Apr 16, 2016",429.57,432.63,428.98,430.57,39392800,663131e4
"Apr 15, 2016",424.43,429.93,424.43,429.71,54801500,655035e4
"Apr 14, 2016",423.94,425.37,423.01,424.28,45281e3,654103e4
"Apr 13, 2016",425.63,426.66,422.92,423.73,69060400,656547e4
"Apr 12, 2016",422.84,427.28,422.84,425.19,70728800,652087e4
"Apr 11, 2016",421.87,422.74,420.53,422.48,50747500,650429e4
"Apr 10, 2016",419.59,422.44,419.26,421.56,73478600,646733e4
"Apr 09, 2016",420.81,420.89,416.51,419.41,49792700,648441e4
"Apr 08, 2016",422.91,425.36,419.63,420.35,63454700,651519e4
"Apr 07, 2016",423.62,423.66,420.52,422.75,57858600,652468e4
"Apr 06, 2016",424.28,424.53,422.73,423.41,59091e3,653326e4
"Apr 05, 2016",421.02,424.26,420.61,424.03,60718e3,648135e4
"Apr 04, 2016",421.3,422.34,419.6,421.44,50634300,648391e4
"Apr 03, 2016",421.17,421.58,419.7,420.9,38053700,648047e4
"Apr 02, 2016",418.42,422.08,418.42,420.87,45681200,64367e5
"Apr 01, 2016",416.76,418.17,415.83,417.96,51235700,640954e4
"Mar 31, 2016",415.26,418.37,415.26,416.73,60215200,638514e4
"Mar 30, 2016",416.83,416.83,412.5,414.82,66034100,640784e4
"Mar 29, 2016",424.3,426.2,412.68,416.52,75411500,652101e4
"Mar 28, 2016",426.55,426.86,423.29,424.23,68522800,65537e5
"Mar 27, 2016",418.14,428.8,417.71,426.76,71229400,642304e4
"Mar 26, 2016",417.37,418.99,416.26,417.94,44650400,64095e5
"Mar 25, 2016",416.51,418.08,415.56,417.18,5256e4,639485e4
"Mar 24, 2016",418.42,418.68,415.49,416.39,68346700,642273e4
"Mar 23, 2016",418.16,419.27,417.36,418.04,61444200,641713e4
"Mar 22, 2016",413.13,418.38,412.53,418.09,66813300,633843e4
"Mar 21, 2016",413.42,413.42,410.38,413.31,61655400,634138e4
"Mar 20, 2016",410.4,414.63,410.4,413.75,45947900,629361e4
"Mar 19, 2016",409.26,410.98,407.23,410.44,58423e3,627479e4
"Mar 18, 2016",420.55,420.55,406.14,409.55,10494e4,644633e4
"Mar 17, 2016",417.89,421,417.89,420.62,83528600,640413e4
"Mar 16, 2016",416.89,417.69,415.91,417.01,65185800,638719e4
"Mar 15, 2016",416.39,418.13,414.99,416.83,66781700,637787e4
"Mar 14, 2016",414.2,416.68,414.2,416.44,95259400,634278e4
"Mar 13, 2016",411.65,416.6,411.64,414.06,74322800,630233e4
"Mar 12, 2016",421.61,421.8,410.09,411.62,92712900,645326e4
"Mar 11, 2016",417.24,423.93,417.01,421.69,73969700,638474e4
"Mar 10, 2016",414.74,417.51,413.25,417.13,81022900,634496e4
"Mar 09, 2016",413.89,416.03,411.61,414.86,70012300,633023e4
"Mar 08, 2016",414.46,416.24,411.09,413.97,70311700,633737e4
"Mar 07, 2016",407.76,415.92,406.31,414.32,85762400,623343e4
"Mar 06, 2016",400.52,411.91,395.78,407.71,91212500,61214e5
"Mar 05, 2016",410.78,411.26,394.04,400.57,135385e3,627661e4
"Mar 04, 2016",421.84,425.18,410.94,410.94,90856100,644389e4
"Mar 03, 2016",423.91,425.37,419.41,421.65,100484e3,647415e4
"Mar 02, 2016",435.13,435.92,423.99,423.99,74955300,664381e4
"Mar 01, 2016",437.92,439.65,432.32,435.12,74895800,66848e5
"Feb 29, 2016",433.44,441.51,431.69,437.7,60694700,661498e4
"Feb 28, 2016",432.57,435.68,423.82,433.5,53033400,660031e4
"Feb 27, 2016",432.84,434.23,428.1,432.52,41893600,660281e4
"Feb 26, 2016",424.63,432.15,421.62,432.15,61486e3,647608e4
"Feb 25, 2016",425.04,427.72,420.42,424.54,70798e3,648065e4
"Feb 24, 2016",420.96,425.55,413.91,424.95,67743700,641719e4
"Feb 23, 2016",438.25,439.86,417.82,420.74,85244900,66794e5
"Feb 22, 2016",438.99,439.05,432.92,437.75,85385200,66892e5
"Feb 21, 2016",437.77,448.05,429.08,438.8,89820700,666926e4
"Feb 20, 2016",421.6,441.98,421.6,437.16,93992100,642131e4
"Feb 19, 2016",422.73,423.1,417.6,420.79,55711300,643698e4
"Feb 18, 2016",416.57,426,415.64,422.37,76752600,634143e4
"Feb 17, 2016",407.66,421.17,406.78,416.32,83193600,620415e4
"Feb 16, 2016",401.43,408.94,401.43,407.49,73093100,610804e4
"Feb 15, 2016",407.57,410.38,397.75,400.19,74070500,619985e4
"Feb 14, 2016",392.93,407.23,392.93,407.23,74469800,597558e4
"Feb 13, 2016",384.64,391.86,384.64,391.86,61911700,584799e4
"Feb 12, 2016",379.69,384.95,379.6,384.26,67042800,577104e4
"Feb 11, 2016",382.11,383.13,376.4,379.65,74375600,580611e4
"Feb 10, 2016",376.15,385.48,375.78,381.65,85130900,571388e4
"Feb 09, 2016",373.42,377.25,372.9,376.03,55318500,567088e4
"Feb 08, 2016",376.76,379.88,373.33,373.45,47671100,57201e5
"Feb 07, 2016",376.51,380.87,374.9,376.62,37076300,571476e4
"Feb 06, 2016",386.59,386.63,372.39,376.52,49249300,586574e4
"Feb 05, 2016",388.9,391.09,385.57,386.55,43825e3,589896e4
"Feb 04, 2016",370.17,391.61,369.99,389.59,69285500,561338e4
"Feb 03, 2016",374.65,374.95,368.05,369.95,45933400,567953e4
"Feb 02, 2016",372.92,375.88,372.92,374.45,40378700,565169e4
"Feb 01, 2016",369.35,378.07,367.96,373.06,51656700,559609e4
"Jan 31, 2016",378.29,380.35,367.83,368.77,37894300,572987e4
"Jan 30, 2016",378.87,380.92,376.49,378.25,30284400,573676e4
"Jan 29, 2016",380.11,384.38,365.45,379.47,86125300,575397e4
"Jan 28, 2016",395.15,395.5,379.74,380.29,59247900,598018e4
"Jan 27, 2016",392.44,396.84,391.78,394.97,47424400,593778e4
"Jan 26, 2016",392,397.77,390.57,392.15,58147e3,592952e4
"Jan 25, 2016",402.32,402.32,388.55,391.73,59062400,60839e5
"Jan 24, 2016",388.1,405.49,387.51,402.97,54824800,58673e5
"Jan 23, 2016",382.43,394.54,381.98,387.49,56247400,577989e4
"Jan 22, 2016",409.75,410.41,375.28,382.49,91546600,619094e4
"Jan 21, 2016",419.63,422.88,406.3,410.26,68338e3,63388e5
"Jan 20, 2016",379.74,425.27,376.6,420.23,12172e4,573476e4
"Jan 19, 2016",387.03,387.73,378.97,380.15,46819800,584351e4
"Jan 18, 2016",381.73,388.1,376.67,387.17,54403900,576194e4
"Jan 17, 2016",387.15,390.96,380.09,382.3,45319600,584227e4
"Jan 16, 2016",365.07,390.56,354.91,387.54,120352e3,550779e4
"Jan 15, 2016",430.25,430.25,364.33,364.33,153351e3,648987e4
"Jan 14, 2016",432.29,433.32,427.85,430.31,43945500,651911e4
"Jan 13, 2016",434.67,435.19,424.44,432.37,173888e3,655335e4
"Jan 12, 2016",448.18,448.18,435.69,435.69,115607e3,675522e4
"Jan 11, 2016",448.7,450.66,443.86,448.43,4045e4,676109e4
"Jan 10, 2016",448.24,448.31,440.35,447.99,35995900,675221e4
"Jan 09, 2016",453.38,454.64,446.89,447.61,32278e3,6828e6
"Jan 08, 2016",457.54,462.93,447.94,453.23,56993e3,68886e5
"Jan 07, 2016",430.01,458.77,429.08,458.05,87562200,647258e4
"Jan 06, 2016",431.86,431.86,426.34,429.11,34042500,649883e4
"Jan 05, 2016",433.07,434.18,429.68,431.96,34522600,651538e4
"Jan 04, 2016",430.06,434.52,429.08,433.09,38477500,646818e4
"Jan 03, 2016",433.58,433.74,424.71,430.01,39633800,65195e5
"Jan 02, 2016",434.62,436.06,431.87,433.44,30096600,653363e4
"Jan 01, 2016",430.72,436.25,427.51,434.33,36278900,647353e4
"Dec 31, 2015",425.88,432.92,418.74,430.57,45996600,639919e4
"Dec 30, 2015",433.3,434.39,422.08,426.62,46889400,650896e4
"Dec 29, 2015",422.1,432.98,420.63,432.98,51596500,633901e4
"Dec 28, 2015",423.34,429.77,418.48,422.28,49638600,63561e5
"Dec 27, 2015",416.51,424.01,408.88,422.82,53591200,625144e4
"Dec 26, 2015",455.76,457.49,405.76,417.27,116166e3,683848e4
"Dec 25, 2015",454.86,458.31,452.07,455.65,39078500,682312e4
"Dec 24, 2015",443.09,458.46,443.08,454.99,57157200,664512e4
"Dec 23, 2015",436.72,444.53,436.62,442.4,47161400,654785e4
"Dec 22, 2015",437.44,443.69,435.52,436.57,50840400,655696e4
